Drivers,Grands Prix, teammates, seasons, contructors, engine builders, models, wins, pole positions, fastest laps, podiums, retirements, points, pts / GP, pts / season, laps led, km led, laps raced, km raced
F.Alonso,' 380Grands Prix', ' 20teammates', ' 21seasons', ' 6constructors', ' 5engine builders', ' 22models', ' 32wins (8.42 %)', ' 22pole positions (5.79 %)', ' 24fastests laps (6.32 %)', ' 106podiums (27.89 %)', ' 77retirements (20.26 %)', ' 2 279points', '  6.00 pts / GP', '  108.52 pts / season', '001 773laps led', '008 676km led', '020 554laps raced', '102 860km raced'
V.Bottas,' 224Grands Prix', ' 10teammates', ' 13seasons', ' 4constructors', ' 3engine builders', ' 13models', ' 10wins (4.46 %)', ' 20pole positions (8.93 %)', ' 19fastests laps (8.48 %)', ' 67podiums (29.91 %)', ' 26retirements (11.61 %)', ' 1 797points', '  8.02 pts / GP', '  149.75 pts / season', '000 728laps led', '003 829km led', '012 604laps raced', '063 749km raced'
Ocon,'132Grands Prix', ' 10teammates', ' 8seasons', ' 4constructors', ' 3engine builders', ' 9models', ' 1win (0.76 %)', '0pole positions', ' 3fastests laps (2.27 %)', ' 4podiums (3.03 %)', ' 22retirements (16.67 %)', '  394points', '  2.98 pts / GP', '  49.25 pts / season', '000 026laps led', '000 151km led', '007 099laps raced', '035 687km raced'
L.Hamilton,'334Grands Prix', ' 8teammates', ' 18seasons', ' 2constructors', ' 1engine builder', ' 18models', ' 103wins (30.84 %)', ' 104pole positions (31.14 %)', ' 65fastests laps (19.46 %)', ' 197podiums (58.98 %)', ' 30retirements (8.98 %)', ' 4 647.50points', '  13.91 pts / GP', '  258.19 pts / season', '005 455laps led', '027 776km led', '019 056laps raced', '095 993km raced'
N.Hulkenburg,' 205Grands Prix', ' 17teammates', ' 14seasons', ' 7constructors', ' 5engine builders', ' 14models', '0wins', ' 1pole position (0.49 %)', ' 2fastests laps (0.98 %)', '0podiums',' 40retirements (19.51 %)', '  531points', '  2.59 pts / GP', '  40.85 pts / season', '000 043laps led', '000 194km led', '010 682laps raced', '054 345km raced'
C.Lecrec,' 125Grands Prix', ' 9teammates', ' 9seasons', ' 3constructors', ' 1engine builder', ' 9models', ' 5wins (4.00 %)', ' 23pole positions (18.40 %)', ' 8fastests laps (6.40 %)', ' 31podiums (24.80 %)', ' 20retirements (16.00 %)', ' 1 102points', '  8.82 pts / GP', '  157.43 pts / season', '000 658laps led', '003 474km led', '006 624laps raced', '033 813km raced'
K.Magussen,' 165Grands Prix', ' 11teammates', ' 10seasons', ' 3constructors', ' 4engine builders', ' 10models', '0wins', ' 1pole position (0.61 %)', ' 2fastests laps (1.21 %)', ' 1podium (0.61 %)', ' 33retirements (20.00 %)', '  186points', '  1.13 pts / GP', '  20.67 pts / season', '0laps led', '0km led','008 771laps raced', '044 436km raced'
L.Norris,' 106Grands Prix', ' 7teammates', ' 7seasons', ' 1constructor', ' 2engine builders', ' 7models', '0wins', ' 1pole position (0.94 %)', ' 6fastests laps (5.66 %)', ' 13podiums (12.26 %)', ' 11retirements (10.38 %)', '  645points', '  6.08 pts / GP', '  107.50 pts / season', '000 066laps led', '000 374km led', '005 973laps raced', '030 181km raced'
E.Ocon,' 135Grands Prix', ' 15teammates', ' 9seasons', ' 5constructors', ' 2engine builders', ' 10models', ' 1win (0.74 %)', '0pole positions', '0fastest laps', ' 3podiums (2.22 %)', ' 22retirements (16.30 %)', '  422points', '  3.13 pts / GP', '  52.75 pts / season', '000 066laps led', '000 291km led', '007 150laps raced', '036 164km raced'
S.Perez,' 259Grands Prix', ' 16teammates', ' 14seasons', ' 5constructors', ' 6engine builders', ' 14models', ' 6wins (2.32 %)', ' 3pole positions (1.16 %)', ' 11fastests laps (4.25 %)', ' 37podiums (14.29 %)', ' 33retirements (12.74 %)', ' 1 522points', '  5.88 pts / GP', '  108.71 pts / season', '000 388laps led', '002 018km led', '014 332laps raced', '072 724km raced'
D.Ricciardo,' 241Grands Prix', ' 17teammates', ' 14seasons', ' 7constructors', ' 6engine builders', ' 15models', ' 8wins (3.32 %)', ' 3pole positions (1.24 %)', ' 16fastests laps (6.64 %)', ' 32podiums (13.28 %)', ' 37retirements (15.35 %)', ' 1 317points', '  5.46 pts / GP', '  94.07 pts / season', '000 340laps led', '001 657km led', '013 238laps raced', '067 063km raced'
G.Russel,' 106Grands Prix', ' 10teammates', ' 7seasons', ' 3constructors', ' 1engine builder', ' 8models', ' 1win (0.94 %)', ' 1pole position (0.94 %)', ' 6fastests laps (5.66 %)', ' 11podiums (10.38 %)', ' 17retirements (16.04 %)', '  487points', '  4.59 pts / GP', '  81.17 pts / season', '000 164laps led', '000 670km led', '005 832laps raced', '029 257km raced'
C.Sainz,' 184Grands Prix', ' 10teammates', ' 10seasons', ' 4constructors', ' 2engine builders', ' 11models', ' 2wins (1.09 %)', ' 5pole positions (2.72 %)', ' 3fastests laps (1.63 %)', ' 19podiums (10.33 %)', ' 35retirements (19.02 %)', '  997.50points', '  5.42 pts / GP', '  99.75 pts / season', '000 166laps led', '000 875km led', '009 833laps raced', '049 031km raced'
K.Magussen,' 145Grands Prix', ' 10teammates', ' 8seasons', ' 3constructors', ' 2engine builders', ' 8models', '0wins', ' 1pole position (0.69 %)', '0fastest laps', ' 3podiums (2.07 %)', ' 27retirements (18.62 %)', '  269points', '  1.86 pts / GP', '  33.62 pts / season', '000 032laps led', '000 171km led', '007 833laps raced', '039 487km raced'
